sequence,class
"[(0.0, 'calories_2', 24240.0), (0.0, 'distance_1', 21600.0), (0.0, 'steps_1', 21600.0), (0.0, 'bpm_3', 22380.0), (120.0, 'calories_1', 35460.0), (540.0, 'calories_3', 14460.0), (540.0, 'bpm_1', 10860.0), (780.0, 'distance_2', 2460.0), (780.0, 'steps_2', 2400.0), (1200.0, 'bpm_4', 7140.0), (2100.0, 'bpm_2', 28020.0), (8340.0, 'light', 120.0), (8460.0, 'wake', 330.0), (8790.0, 'light', 1410.0), (10200.0, 'deep', 360.0), (10560.0, 'light', 960.0), (11520.0, 'rem', 1380.0), (12900.0, 'light', 1890.0), (14790.0, 'wake', 390.0), (15180.0, 'light', 180.0), (15360.0, 'deep', 690.0), (16050.0, 'light', 690.0), (16740.0, 'bpm_1', 15540.0), (16740.0, 'rem', 1830.0), (18570.0, 'light', 5490.0), (19440.0, 'bpm_4', 11220.0), (21840.0, 'distance_1', 29940.0), (21840.0, 'steps_1', 30000.0), (24060.0, 'wake', 660.0), (24720.0, 'light', 120.0), (24840.0, 'rem', 1200.0), (25200.0, 'calories_2', 28740.0), (26040.0, 'light', 450.0), (26490.0, 'wake', 270.0), (26760.0, 'light', 330.0), (27090.0, 'wake', 270.0), (27360.0, 'light', 210.0), (27570.0, 'wake', 270.0), (27840.0, 'light', 180.0), (28020.0, 'wake', 210.0), (28230.0, 'light', 1800.0), (30030.0, 'deep', 1530.0), (30180.0, 'bpm_2', 20400.0), (30240.0, 'bpm_3', 21600.0), (30840.0, 'bpm_4', 17640.0), (31200.0, 'steps_2', 14220.0), (31560.0, 'light', 870.0), (32340.0, 'distance_2', 13080.0), (32430.0, 'wake', 270.0), (32700.0, 'light', 510.0), (33210.0, 'SleepScore', 68.0), (34680.0, 'calories_3', 15900.0), (38100.0, 'calories_1', 15720.0), (39340.0, 'Walk', 3892000.0), (50160.0, 'bpm_1', 9120.0), (50460.0, 'distance_2', 20820.0), (50460.0, 'steps_2', 20820.0), (50760.0, 'bpm_4', 20520.0), (51720.0, 'calories_3', 18660.0), (51898.0, 'Run', 6096000.0), (53940.0, 'distance_1', 18060.0), (54420.0, 'steps_1', 17580.0), (55200.0, 'calories_2', 16560.0), (60900.0, 'bpm_3', 11100.0), (61380.0, 'bpm_2', 9180.0), (62700.0, 'bpm_1', 8460.0), (64800.0, 'calories_1', 7200.0)]",0
"[(0.0, 'calories_1', 33360.0), (0.0, 'bpm_2', 13080.0), (540.0, 'distance_1', 23100.0), (540.0, 'steps_1', 23100.0), (540.0, 'bpm_3', 14760.0), (780.0, 'wake', 540.0), (840.0, 'calories_2', 7620.0), (1320.0, 'light', 2190.0), (1560.0, 'calories_3', 0.0), (1860.0, 'bpm_1', 11760.0), (3510.0, 'deep', 450.0), (3960.0, 'light', 1380.0), (5340.0, 'deep', 1620.0), (6960.0, 'light', 360.0), (7320.0, 'wake', 360.0), (7680.0, 'light', 120.0), (7800.0, 'wake', 690.0), (8490.0, 'rem', 360.0), (8850.0, 'light', 2430.0), (10800.0, 'bpm_4', 12540.0), (11280.0, 'rem', 1980.0), (13260.0, 'SleepScore', 64.0), (13680.0, 'bpm_1', 8340.0), (14340.0, 'calories_2', 11880.0), (14400.0, 'calories_3', 12120.0), (15240.0, 'bpm_2', 8940.0), (18960.0, 'asleep', 5760.0), (22140.0, 'bpm_3', 14640.0), (22260.0, 'distance_2', 10740.0), (22260.0, 'steps_2', 10740.0), (23880.0, 'distance_1', 26940.0), (23880.0, 'steps_1', 26940.0), (24360.0, 'bpm_4', 25500.0), (26040.0, 'bpm_1', 3960.0), (26400.0, 'calories_2', 15780.0), (26820.0, 'calories_3', 21420.0), (32040.0, 'bpm_2', 10740.0), (34440.0, 'calories_1', 27600.0), (34860.0, 'distance_2', 14100.0), (34860.0, 'steps_2', 14100.0), (37260.0, 'bpm_3', 12300.0), (42300.0, 'bpm_1', 11580.0), (43920.0, 'bpm_2', 14520.0), (43980.0, 'calories_2', 13980.0), (49920.0, 'bpm_3', 8820.0), (50880.0, 'distance_1', 21120.0), (50880.0, 'steps_1', 21120.0), (51180.0, 'bpm_4', 20820.0), (52320.0, 'calories_3', 19620.0), (54540.0, 'distance_2', 14760.0), (54540.0, 'steps_2', 14760.0), (58080.0, 'calories_2', 13920.0), (58837.0, 'Run', 1075000.0), (59220.0, 'bpm_1', 10140.0), (61551.0, 'Run', 2099000.0), (69480.0, 'bpm_3', 420.0)]",1
"[(0.0, 'calories_3', 8100.0), (0.0, 'bpm_2', 35520.0), (60.0, 'calories_2', 20160.0), (240.0, 'bpm_1', 12300.0), (660.0, 'calories_1', 39360.0), (1020.0, 'distance_1', 20220.0), (1020.0, 'steps_1', 20220.0), (4380.0, 'bpm_3', 11460.0), (4440.0, 'bpm_4', 0.0), (4650.0, 'wake', 690.0), (5340.0, 'light', 1290.0), (6630.0, 'deep', 1290.0), (7920.0, 'wake', 360.0), (8280.0, 'light', 4320.0), (12600.0, 'bpm_1', 11940.0), (12600.0, 'rem', 510.0), (13110.0, 'light', 120.0), (13230.0, 'wake', 480.0), (13710.0, 'light', 780.0), (14490.0, 'rem', 1170.0), (15660.0, 'light', 1740.0), (16680.0, 'bpm_4', 15060.0), (17400.0, 'deep', 1440.0), (18840.0, 'light', 390.0), (19230.0, 'rem', 1200.0), (20280.0, 'calories_3', 23040.0), (20430.0, 'light', 1890.0), (22320.0, 'deep', 270.0), (22590.0, 'light', 480.0), (23040.0, 'calories_2', 48960.0), (23040.0, 'distance_1', 25800.0), (23040.0, 'steps_1', 25800.0), (23070.0, 'rem', 1200.0), (23700.0, 'bpm_3', 26520.0), (23760.0, 'distance_2', 4800.0), (23760.0, 'steps_2', 9900.0), (24270.0, 'light', 90.0), (24360.0, 'wake', 750.0), (25110.0, 'light', 1500.0), (26610.0, 'wake', 390.0), (27000.0, 'light', 90.0), (27090.0, 'SleepScore', 71.0), (31140.0, 'distance_2', 11220.0), (34620.0, 'bpm_4', 9780.0), (35760.0, 'bpm_2', 36180.0), (36600.0, 'bpm_1', 60.0), (37260.0, 'steps_2', 8160.0), (40080.0, 'calories_1', 31800.0), (43380.0, 'distance_2', 13680.0), (43740.0, 'calories_3', 27120.0), (46920.0, 'steps_2', 10140.0), (48600.0, 'bpm_1', 4680.0), (48960.0, 'bpm_4', 8760.0), (49380.0, 'distance_1', 22620.0), (49380.0, 'steps_1', 22620.0), (53640.0, 'bpm_3', 18360.0), (63900.0, 'bpm_1', 4620.0), (64260.0, 'distance_2', 5460.0), (64500.0, 'steps_2', 5220.0), (64560.0, 'bpm_4', 7080.0)]",3
"[(0.0, 'calories_1', 33360.0), (0.0, 'bpm_1', 33060.0), (930.0, 'light', 1860.0), (960.0, 'calories_2', 9840.0), (2340.0, 'distance_1', 20280.0), (2340.0, 'steps_1', 20280.0), (2790.0, 'deep', 510.0), (3300.0, 'light', 1920.0), (5220.0, 'rem', 1500.0), (6720.0, 'wake', 300.0), (7020.0, 'light', 1740.0), (7500.0, 'bpm_2', 36120.0), (8760.0, 'deep', 330.0), (9090.0, 'light', 1890.0), (10980.0, 'rem', 1350.0), (12330.0, 'light', 1920.0), (13560.0, 'bpm_3', 21780.0), (14250.0, 'deep', 1410.0), (15660.0, 'calories_2', 8340.0), (15660.0, 'light', 150.0), (15810.0, 'rem', 300.0), (16110.0, 'light', 30.0), (16140.0, 'wake', 780.0), (16920.0, 'light', 150.0), (17070.0, 'wake', 300.0), (17370.0, 'light', 4710.0), (19860.0, 'bpm_4', 14160.0), (21300.0, 'distance_2', 11220.0), (21300.0, 'steps_2', 11220.0), (22080.0, 'wake', 990.0), (22800.0, 'distance_1', 28860.0), (22800.0, 'steps_1', 28860.0), (23070.0, 'SleepScore', 77.0), (23520.0, 'calories_3', 12540.0), (25680.0, 'calories_2', 14520.0), (33660.0, 'bpm_1', 38340.0), (33720.0, 'distance_2', 17400.0), (33780.0, 'steps_2', 17340.0), (34440.0, 'calories_1', 30600.0), (35400.0, 'bpm_3', 18840.0), (36120.0, 'calories_3', 11100.0), (40320.0, 'calories_2', 31680.0), (40320.0, 'bpm_4', 12000.0), (43680.0, 'bpm_2', 27660.0), (47820.0, 'calories_3', 12540.0), (51720.0, 'distance_1', 20220.0), (51720.0, 'steps_1', 20220.0), (52200.0, 'distance_2', 16140.0), (52200.0, 'steps_2', 16140.0), (54300.0, 'bpm_3', 17580.0), (61980.0, 'calories_3', 9960.0), (62100.0, 'bpm_4', 8100.0), (63149.0, 'Walk', 5223000.0)]",0
"[(0.0, 'calories_1', 24960.0), (0.0, 'bpm_1', 7500.0), (240.0, 'bpm_2', 21240.0), (360.0, 'distance_1', 17940.0), (360.0, 'steps_1', 17940.0), (1680.0, 'calories_2', 18180.0), (1830.0, 'light', 1890.0), (3720.0, 'rem', 390.0), (4110.0, 'light', 3540.0), (7620.0, 'bpm_1', 5820.0), (7650.0, 'deep', 840.0), (8490.0, 'light', 780.0), (9270.0, 'rem', 360.0), (9630.0, 'wake', 210.0), (9840.0, 'light', 240.0), (10080.0, 'wake', 780.0), (10860.0, 'light', 270.0), (11130.0, 'wake', 600.0), (11400.0, 'bpm_3', 29880.0), (11730.0, 'light', 2940.0), (13500.0, 'bpm_1', 6960.0), (14670.0, 'rem', 270.0), (14940.0, 'wake', 420.0), (15360.0, 'light', 3240.0), (18600.0, 'wake', 420.0), (19020.0, 'rem', 270.0), (19290.0, 'light', 210.0), (19500.0, 'rem', 330.0), (19830.0, 'light', 1230.0), (20220.0, 'distance_1', 20940.0), (20220.0, 'steps_1', 20940.0), (21000.0, 'bpm_4', 7080.0), (21060.0, 'wake', 630.0), (21660.0, 'distance_2', 15540.0), (21660.0, 'steps_2', 6360.0), (21690.0, 'light', 1920.0), (21900.0, 'calories_2', 22440.0), (22860.0, 'bpm_2', 21420.0), (23610.0, 'wake', 390.0), (24000.0, 'SleepScore', 66.0), (24540.0, 'calories_3', 8820.0), (25905.0, 'Walk', 1024000.0), (26460.0, 'calories_1', 13380.0), (31320.0, 'bpm_1', 4740.0), (35640.0, 'bpm_4', 16500.0), (36360.0, 'steps_2', 10620.0), (37107.0, 'Weights', 3597000.0), (37320.0, 'distance_2', 11040.0), (39960.0, 'calories_3', 14400.0), (41280.0, 'distance_1', 30660.0), (41280.0, 'steps_1', 30720.0), (41640.0, 'bpm_3', 30360.0), (43140.0, 'bpm_1', 0.0), (44460.0, 'calories_2', 25980.0), (44491.0, 'Walk', 1536000.0), (45240.0, 'calories_1', 9000.0), (46027.0, 'Run', 922000.0), (47820.0, 'bpm_2', 17580.0), (55620.0, 'calories_3', 16380.0), (56820.0, 'distance_2', 4500.0), (56820.0, 'steps_2', 14520.0), (56880.0, 'bpm_4', 14340.0), (56933.0, 'Walk', 1331000.0), (57240.0, 'calories_1', 11520.0), (58680.0, 'bpm_1', 2400.0), (65460.0, 'distance_2', 6540.0), (67736.0, 'Walk', 3022000.0)]",1
"[(0.0, 'calories_1', 40440.0), (0.0, 'bpm_1', 21540.0), (120.0, 'distance_1', 25080.0), (120.0, 'steps_1', 25140.0), (1500.0, 'bpm_2', 13800.0), (1830.0, 'light', 4860.0), (2580.0, 'calories_2', 25140.0), (5940.0, 'bpm_3', 9180.0), (6690.0, 'deep', 270.0), (6960.0, 'light', 900.0), (7860.0, 'wake', 390.0), (8250.0, 'light', 150.0), (8400.0, 'wake', 840.0), (9240.0, 'light', 120.0), (9360.0, 'wake', 390.0), (9750.0, 'light', 3420.0), (13170.0, 'wake', 1230.0), (14400.0, 'light', 2610.0), (14940.0, 'bpm_4', 22800.0), (17010.0, 'rem', 3690.0), (18600.0, 'calories_3', 17520.0), (20340.0, 'bpm_2', 22080.0), (20700.0, 'light', 3210.0), (21600.0, 'bpm_3', 14280.0), (21720.0, 'distance_2', 5040.0), (21720.0, 'steps_2', 5040.0), (23910.0, 'wake', 480.0), (24390.0, 'SleepScore', 69.0), (24900.0, 'bpm_1', 21480.0), (25371.0, 'Walk', 1126000.0), (26460.0, 'distance_1', 24900.0), (26460.0, 'steps_1', 24900.0), (27960.0, 'calories_2', 27000.0), (32220.0, 'distance_2', 10440.0), (32220.0, 'steps_2', 10440.0), (36180.0, 'calories_3', 13800.0), (36600.0, 'bpm_3', 14520.0), (38520.0, 'bpm_4', 9960.0), (41580.0, 'calories_1', 25260.0), (45720.0, 'bpm_2', 20580.0), (48480.0, 'distance_2', 19380.0), (48480.0, 'steps_2', 19380.0), (48540.0, 'bpm_4', 12780.0), (50280.0, 'calories_3', 21720.0), (51455.0, 'Run', 4865000.0), (56100.0, 'distance_1', 15900.0), (56100.0, 'steps_1', 15900.0), (57540.0, 'bpm_1', 7560.0), (58200.0, 'bpm_3', 13740.0), (60480.0, 'calories_2', 11460.0), (64740.0, 'bpm_4', 7260.0)]",0
"[(0.0, 'calories_2', 20100.0), (0.0, 'distance_1', 24840.0), (0.0, 'steps_1', 24840.0), (0.0, 'bpm_4', 21480.0), (60.0, 'bpm_3', 32940.0), (180.0, 'calories_3', 9540.0), (2880.0, 'distance_2', 2100.0), (2880.0, 'steps_2', 2100.0), (4440.0, 'bpm_1', 20820.0), (5700.0, 'bpm_2', 13800.0), (9300.0, 'calories_1', 34500.0), (10500.0, 'light', 540.0), (11040.0, 'deep', 1500.0), (12540.0, 'light', 1680.0), (14220.0, 'rem', 1890.0), (16110.0, 'light', 360.0), (16470.0, 'wake', 240.0), (16710.0, 'light', 2220.0), (18930.0, 'rem', 330.0), (19260.0, 'light', 690.0), (19680.0, 'bpm_2', 14160.0), (19950.0, 'wake', 540.0), (20400.0, 'calories_2', 23880.0), (20460.0, 'calories_3', 4620.0), (20490.0, 'light', 3330.0), (23820.0, 'wake', 1500.0), (25200.0, 'distance_1', 26520.0), (25200.0, 'steps_1', 26520.0), (25320.0, 'light', 270.0), (25590.0, 'rem', 1740.0), (27330.0, 'light', 690.0), (28020.0, 'wake', 750.0), (28770.0, 'light', 3210.0), (31980.0, 'wake', 1050.0), (33030.0, 'light', 180.0), (33210.0, 'rem', 480.0), (33690.0, 'light', 3630.0), (33780.0, 'bpm_3', 22560.0), (34020.0, 'bpm_4', 17340.0), (34080.0, 'distance_2', 17160.0), (34080.0, 'steps_2', 17160.0), (37320.0, 'SleepScore', 58.0), (37560.0, 'calories_3', 33720.0), (41375.0, 'Walk', 4557000.0), (46380.0, 'bpm_2', 25500.0), (49260.0, 'bpm_1', 12360.0), (49620.0, 'calories_2', 22140.0), (49800.0, 'calories_1', 22200.0), (51780.0, 'distance_1', 20220.0), (51780.0, 'steps_1', 20220.0), (56760.0, 'bpm_3', 15240.0), (59760.0, 'distance_2', 10380.0), (59760.0, 'steps_2', 10380.0), (60060.0, 'bpm_4', 11160.0)]",3
"[(0.0, 'calories_1', 40740.0), (0.0, 'bpm_2', 25080.0), (60.0, 'bpm_3', 20880.0), (300.0, 'distance_1', 21660.0), (300.0, 'steps_1', 21660.0), (900.0, 'light', 1050.0), (1080.0, 'calories_2', 24480.0), (1950.0, 'deep', 270.0), (2220.0, 'light', 180.0), (2400.0, 'rem', 930.0), (3330.0, 'light', 1440.0), (4770.0, 'deep', 270.0), (5040.0, 'light', 420.0), (5460.0, 'deep', 1980.0), (6120.0, 'bpm_1', 29160.0), (7440.0, 'light', 330.0), (7770.0, 'rem', 420.0), (8190.0, 'light', 3450.0), (10200.0, 'bpm_4', 0.0), (11640.0, 'deep', 1590.0), (13230.0, 'rem', 360.0), (13590.0, 'wake', 420.0), (14010.0, 'light', 3660.0), (17670.0, 'rem', 300.0), (17970.0, 'light', 510.0), (18480.0, 'rem', 480.0), (18960.0, 'light', 2730.0), (21690.0, 'rem', 900.0), (22590.0, 'light', 1920.0), (24420.0, 'distance_1', 22020.0), (24420.0, 'steps_1', 21540.0), (24510.0, 'wake', 300.0), (24660.0, 'bpm_3', 24480.0), (24810.0, 'light', 1020.0), (25830.0, 'rem', 300.0), (25860.0, 'bpm_2', 22440.0), (26130.0, 'light', 330.0), (26460.0, 'rem', 1530.0), (27990.0, 'wake', 690.0), (28020.0, 'calories_2', 24480.0), (28260.0, 'calories_3', 7800.0), (28680.0, 'light', 270.0), (28740.0, 'bpm_4', 17400.0), (28950.0, 'rem', 960.0), (29910.0, 'SleepScore', 79.0), (30900.0, 'distance_2', 4260.0), (30900.0, 'steps_2', 4260.0), (36120.0, 'calories_3', 11880.0), (37320.0, 'distance_2', 5880.0), (37320.0, 'steps_2', 5880.0), (38178.0, 'Walk', 4813000.0), (46020.0, 'steps_1', 11460.0), (46620.0, 'distance_1', 10500.0), (46920.0, 'bpm_4', 9180.0), (47040.0, 'calories_1', 22680.0), (47100.0, 'distance_2', 5820.0), (47100.0, 'steps_2', 6660.0), (49406.0, 'Treadmill', 6048000.0), (49680.0, 'calories_3', 12300.0), (54660.0, 'steps_2', 5040.0), (54720.0, 'distance_2', 4980.0), (55500.0, 'bpm_3', 16140.0), (56040.0, 'bpm_1', 15540.0), (56280.0, 'bpm_2', 15720.0), (57360.0, 'distance_1', 14640.0), (57540.0, 'steps_1', 14460.0), (57660.0, 'bpm_4', 12780.0), (58680.0, 'calories_2', 13320.0), (62100.0, 'calories_3', 9360.0), (64680.0, 'distance_2', 0.0), (64680.0, 'steps_2', 0.0), (71520.0, 'distance_2', 0.0), (71520.0, 'steps_2', 0.0)]",2
"[(0.0, 'calories_1', 21660.0), (0.0, 'bpm_2', 17760.0), (1260.0, 'light', 960.0), (2220.0, 'rem', 930.0), (2280.0, 'bpm_3', 8820.0), (2880.0, 'calories_2', 15540.0), (2940.0, 'bpm_1', 18780.0), (3150.0, 'wake', 330.0), (3240.0, 'distance_1', 14880.0), (3240.0, 'steps_1', 14880.0), (3480.0, 'light', 690.0), (4170.0, 'deep', 540.0), (4710.0, 'light', 450.0), (5160.0, 'deep', 1560.0), (6720.0, 'light', 5460.0), (11040.0, 'bpm_4', 0.0), (12180.0, 'wake', 420.0), (12600.0, 'light', 600.0), (13200.0, 'rem', 270.0), (13470.0, 'light', 480.0), (13950.0, 'wake', 990.0), (14580.0, 'calories_3', 4500.0), (14940.0, 'rem', 990.0), (15930.0, 'light', 1230.0), (17160.0, 'rem', 1380.0), (17820.0, 'bpm_2', 19320.0), (17880.0, 'bpm_3', 15360.0), (18540.0, 'light', 360.0), (18900.0, 'rem', 270.0), (19170.0, 'light', 2370.0), (20880.0, 'distance_1', 16980.0), (20880.0, 'steps_1', 16980.0), (21360.0, 'distance_2', 4260.0), (21360.0, 'steps_2', 9000.0), (21540.0, 'bpm_4', 13260.0), (21540.0, 'rem', 2430.0), (21720.0, 'calories_2', 17160.0), (21780.0, 'calories_1', 24540.0), (23970.0, 'light', 210.0), (24180.0, 'SleepScore', 74.0), (24900.0, 'calories_3', 9060.0), (30240.0, 'distance_2', 6240.0), (33360.0, 'bpm_1', 9660.0), (34500.0, 'bpm_3', 19920.0), (35220.0, 'bpm_4', 20280.0), (36420.0, 'steps_2', 18960.0), (37200.0, 'bpm_2', 12120.0), (39000.0, 'distance_1', 33000.0), (39000.0, 'steps_1', 33000.0), (39240.0, 'calories_2', 11160.0), (39540.0, 'calories_3', 19500.0), (42900.0, 'distance_2', 12480.0), (43852.0, 'Weights', 2856000.0), (46380.0, 'calories_1', 18480.0), (49080.0, 'bpm_1', 12900.0), (50036.0, 'Walk', 1281000.0), (50460.0, 'calories_2', 21240.0), (51780.0, 'bpm_2', 20160.0), (55020.0, 'bpm_3', 16980.0), (57240.0, 'distance_2', 11340.0), (57240.0, 'steps_2', 11340.0), (57240.0, 'bpm_4', 12120.0), (60780.0, 'calories_3', 11220.0), (62069.0, 'Walk', 6657000.0)]",3
"[(0.0, 'calories_1', 24720.0), (0.0, 'bpm_2', 19620.0), (60.0, 'distance_1', 16680.0), (60.0, 'steps_1', 16680.0), (60.0, 'bpm_3', 14940.0), (2520.0, 'rem', 360.0), (2880.0, 'deep', 540.0), (3300.0, 'calories_2', 9900.0), (3420.0, 'bpm_1', 21120.0), (3420.0, 'light', 330.0), (3750.0, 'wake', 210.0), (3960.0, 'light', 3240.0), (7200.0, 'wake', 240.0), (7440.0, 'light', 690.0), (8130.0, 'rem', 660.0), (8790.0, 'light', 2280.0), (11070.0, 'deep', 690.0), (11760.0, 'light', 2490.0), (14250.0, 'rem', 1410.0), (15660.0, 'light', 1530.0), (17190.0, 'rem', 780.0), (17970.0, 'light', 420.0), (18390.0, 'rem', 1650.0), (19440.0, 'calories_2', 19500.0), (19440.0, 'distance_1', 16740.0), (19440.0, 'steps_1', 16740.0), (20040.0, 'light', 2610.0), (21120.0, 'bpm_2', 25860.0), (21180.0, 'bpm_3', 11340.0), (21240.0, 'distance_2', 10500.0), (21240.0, 'steps_2', 10500.0), (21240.0, 'bpm_4', 14940.0), (22650.0, 'rem', 2160.0), (24721.0, 'Walk', 973000.0), (24780.0, 'calories_3', 14820.0), (24810.0, 'SleepScore', 77.0), (25920.0, 'bpm_1', 19560.0), (26220.0, 'calories_1', 24120.0), (35760.0, 'distance_2', 8760.0), (35760.0, 'steps_2', 8760.0), (35760.0, 'bpm_3', 21360.0), (36840.0, 'distance_1', 35160.0), (36840.0, 'steps_1', 35160.0), (39480.0, 'calories_2', 15660.0), (40860.0, 'bpm_4', 14820.0), (43740.0, 'calories_3', 15540.0), (47700.0, 'bpm_2', 24300.0), (49140.0, 'distance_2', 9180.0), (49140.0, 'steps_2', 6480.0), (50040.0, 'bpm_1', 18780.0), (51060.0, 'calories_1', 19080.0), (51858.0, 'Walk', 1229000.0), (57480.0, 'bpm_3', 14460.0), (58020.0, 'calories_2', 12180.0), (61800.0, 'distance_2', 9660.0), (61800.0, 'steps_2', 9660.0), (61920.0, 'calories_3', 10080.0), (64560.0, 'bpm_4', 7020.0), (67218.0, 'Walk', 4250000.0)]",1
"[(0.0, 'calories_1', 22800.0), (0.0, 'bpm_3', 0.0), (60.0, 'bpm_2', 1200.0), (120.0, 'bpm_1', 9600.0), (180.0, 'distance_1', 33180.0), (180.0, 'steps_1', 39360.0), (2580.0, 'light', 210.0), (2790.0, 'rem', 1920.0), (3780.0, 'calories_2', 15540.0), (4710.0, 'light', 4740.0), (6960.0, 'bpm_3', 0.0), (7020.0, 'bpm_2', 3660.0), (9450.0, 'deep', 750.0), (9780.0, 'bpm_1', 15360.0), (10200.0, 'light', 180.0), (10380.0, 'rem', 930.0), (11310.0, 'light', 60.0), (11370.0, 'wake', 450.0), (11820.0, 'light', 2400.0), (14220.0, 'wake', 810.0), (15030.0, 'light', 180.0), (15210.0, 'wake', 270.0), (15480.0, 'light', 2760.0), (15600.0, 'bpm_2', 9060.0), (18240.0, 'rem', 1890.0), (19680.0, 'calories_2', 13620.0), (20130.0, 'light', 2940.0), (21960.0, 'distance_2', 5640.0), (21960.0, 'steps_2', 5580.0), (22260.0, 'bpm_3', 9720.0), (22620.0, 'bpm_4', 5040.0), (22860.0, 'calories_1', 22080.0), (23070.0, 'wake', 1560.0), (24630.0, 'light', 180.0), (24810.0, 'SleepScore', 71.0), (25320.0, 'calories_3', 7920.0), (25620.0, 'bpm_1', 14220.0), (27780.0, 'bpm_2', 13560.0), (32760.0, 'bpm_3', 8940.0), (35220.0, 'distance_1', 19560.0), (35520.0, 'calories_2', 9600.0), (37200.0, 'distance_2', 10260.0), (37200.0, 'steps_2', 10260.0), (39600.0, 'steps_1', 20580.0), (40800.0, 'calories_3', 15780.0), (40920.0, 'bpm_4', 18780.0), (41827.0, 'Treadmill', 4991000.0), (48420.0, 'bpm_3', 4080.0), (51840.0, 'calories_2', 14880.0), (51840.0, 'bpm_2', 0.0), (51960.0, 'distance_2', 18840.0), (51960.0, 'steps_2', 18840.0), (52920.0, 'bpm_1', 1560.0), (54912.0, 'Walk', 3687000.0), (56640.0, 'calories_3', 15360.0), (58680.0, 'distance_1', 13320.0), (59760.0, 'bpm_4', 12240.0), (59880.0, 'bpm_1', 6120.0), (60240.0, 'steps_1', 11760.0), (60480.0, 'bpm_3', 10680.0), (60540.0, 'bpm_2', 420.0), (63566.0, 'Walk', 1178000.0), (64140.0, 'calories_1', 480.0)]",0
"[(0.0, 'calories_3', 9840.0), (0.0, 'distance_1', 17820.0), (0.0, 'steps_1', 17820.0), (0.0, 'bpm_3', 21540.0), (900.0, 'calories_1', 26940.0), (930.0, 'wake', 270.0), (1020.0, 'bpm_4', 11880.0), (1140.0, 'bpm_1', 0.0), (1200.0, 'light', 690.0), (1560.0, 'calories_2', 23520.0), (1890.0, 'deep', 1110.0), (3000.0, 'light', 2070.0), (5070.0, 'rem', 900.0), (5970.0, 'light', 2250.0), (8220.0, 'wake', 390.0), (8610.0, 'light', 1110.0), (9720.0, 'wake', 360.0), (10080.0, 'light', 150.0), (10230.0, 'rem', 1530.0), (11760.0, 'light', 4650.0), (16140.0, 'bpm_2', 14640.0), (16410.0, 'rem', 300.0), (16710.0, 'light', 1140.0), (17850.0, 'rem', 2760.0), (18060.0, 'distance_1', 24180.0), (18060.0, 'steps_1', 24180.0), (19800.0, 'bpm_1', 16380.0), (20520.0, 'calories_3', 22560.0), (20610.0, 'light', 360.0), (20970.0, 'wake', 210.0), (21180.0, 'light', 90.0), (21270.0, 'rem', 570.0), (21600.0, 'bpm_4', 7680.0), (21840.0, 'light', 240.0), (21900.0, 'distance_2', 12300.0), (21900.0, 'steps_2', 12300.0), (22080.0, 'wake', 510.0), (22590.0, 'light', 1920.0), (23580.0, 'bpm_3', 24240.0), (24510.0, 'wake', 210.0), (24720.0, 'light', 300.0), (25020.0, 'SleepScore', 63.0), (25140.0, 'calories_2', 24660.0), (26525.0, 'Walk', 1024000.0), (29220.0, 'calories_1', 25080.0), (31320.0, 'bpm_2', 19560.0), (34260.0, 'bpm_4', 9420.0), (41280.0, 'distance_2', 18180.0), (41280.0, 'steps_2', 18180.0), (42360.0, 'distance_1', 29640.0), (42360.0, 'steps_1', 29640.0), (44820.0, 'calories_3', 27180.0), (47580.0, 'bpm_1', 19200.0), (49140.0, 'bpm_3', 22860.0), (50460.0, 'calories_2', 20580.0), (50940.0, 'bpm_4', 20940.0), (62940.0, 'distance_2', 8820.0), (62940.0, 'steps_2', 8820.0), (63180.0, 'bpm_2', 4080.0), (66720.0, 'calories_1', 3600.0), (68356.0, 'Walk', 3430000.0)]",2
